,0,1,2,3
0,19594.0,10.0,20.0,16.0
1,19596.0,10.0,16.0,16.0
2,19597.0,10.0,16.0,16.0
3,19599.0,10.0,18.0,16.0
4,19600.0,10.0,17.0,16.0
5,19602.0,14.0,13.0,16.0
6,19603.0,14.0,13.0,16.0
7,19604.0,14.0,13.0,16.0
8,19608.0,14.0,16.0,16.0
9,19609.0,14.0,14.0,16.0
10,19615.0,7.0,16.0,16.0
11,19617.0,7.0,16.0,16.0
12,19618.0,7.0,16.0,16.0
13,19620.0,7.0,15.0,16.0
14,19626.0,7.0,16.0,16.0
15,19629.0,5.0,20.0,16.0
16,19631.0,5.0,22.0,16.0
17,19635.0,5.0,20.0,16.0
18,19636.0,5.0,18.0,16.0
19,19638.0,5.0,20.0,16.0
20,19639.0,9.0,4.0,16.0
21,19642.0,9.0,6.0,16.0
22,19645.0,9.0,5.0,16.0
23,19651.0,9.0,4.0,16.0
24,19657.0,9.0,6.0,16.0
25,19665.0,3.0,19.0,16.0
26,19668.0,3.0,19.0,16.0
27,19669.0,3.0,19.0,16.0
28,19670.0,3.0,19.0,16.0
29,19676.0,3.0,20.0,16.0
30,19678.0,4.0,13.0,16.0
31,19693.0,4.0,12.0,16.0
32,19697.0,4.0,10.0,16.0
33,19698.0,4.0,11.0,16.0
34,19700.0,4.0,10.0,16.0
35,19702.0,0.0,4.0,16.0
36,19705.0,0.0,4.0,16.0
37,19706.0,0.0,3.0,16.0
38,19710.0,0.0,5.0,16.0
39,19711.0,0.0,4.0,16.0
40,19714.0,13.0,12.0,16.0
41,19717.0,13.0,11.0,16.0
42,19718.0,13.0,11.0,16.0
43,19719.0,13.0,12.0,16.0
44,19720.0,13.0,11.0,16.0
45,19726.0,6.0,16.0,16.0
46,19727.0,6.0,17.0,16.0
47,19728.0,6.0,17.0,16.0
48,19729.0,6.0,16.0,16.0
49,19734.0,6.0,16.0,16.0
50,19743.0,8.0,5.0,16.0
51,19745.0,8.0,7.0,16.0
52,19747.0,8.0,7.0,16.0
53,19748.0,8.0,7.0,16.0
54,19750.0,8.0,8.0,16.0
55,19751.0,12.0,18.0,16.0
56,19752.0,12.0,18.0,16.0
57,19761.0,12.0,17.0,16.0
58,19762.0,12.0,18.0,16.0
59,19770.0,12.0,18.0,16.0
60,19772.0,15.0,19.0,16.0
61,19775.0,15.0,17.0,16.0
62,19780.0,15.0,17.0,16.0
63,19781.0,15.0,18.0,16.0
64,19783.0,15.0,16.0,16.0
65,19784.0,11.0,7.0,16.0
66,19786.0,11.0,8.0,16.0
67,19790.0,11.0,7.0,16.0
68,19792.0,11.0,7.0,16.0
69,19798.0,11.0,7.0,16.0
70,19799.0,2.0,6.0,16.0
71,19802.0,2.0,5.0,16.0
72,19804.0,2.0,4.0,16.0
73,19805.0,2.0,6.0,16.0
74,19806.0,2.0,5.0,16.0
75,19809.0,1.0,12.0,16.0
76,19811.0,1.0,12.0,16.0
77,19813.0,1.0,13.0,16.0
78,19814.0,1.0,13.0,16.0
79,19815.0,1.0,14.0,16.0
80,19819.0,10.0,19.0,16.0
81,19821.0,14.0,13.0,16.0
82,19823.0,7.0,16.0,16.0
83,19824.0,5.0,20.0,16.0
84,19826.0,9.0,4.0,16.0
85,19833.0,3.0,20.0,16.0
86,19836.0,4.0,12.0,16.0
87,19845.0,0.0,3.0,16.0
88,19848.0,13.0,13.0,16.0
89,19849.0,6.0,16.0,16.0
90,19850.0,8.0,7.0,16.0
91,19851.0,12.0,19.0,16.0
92,19853.0,15.0,18.0,16.0
93,19854.0,11.0,7.0,16.0
94,19858.0,2.0,5.0,16.0
95,19860.0,1.0,10.0,16.0
96,19863.0,10.0,17.0,16.0
97,19867.0,14.0,15.0,16.0
98,19869.0,7.0,16.0,16.0
99,19870.0,5.0,22.0,16.0
