,0,1,2,3
0,502.0,3.0,4.0,8.0
1,504.0,3.0,5.0,8.0
2,508.0,3.0,4.0,8.0
3,509.0,3.0,4.0,8.0
4,518.0,3.0,3.0,8.0
5,519.0,5.0,10.0,8.0
6,520.0,5.0,12.0,8.0
7,521.0,5.0,9.0,8.0
8,522.0,5.0,8.0,8.0
9,523.0,5.0,10.0,8.0
10,527.0,7.0,6.0,8.0
11,528.0,7.0,4.0,8.0
12,530.0,7.0,7.0,8.0
13,533.0,7.0,5.0,8.0
14,540.0,7.0,6.0,8.0
15,545.0,6.0,3.0,8.0
16,560.0,6.0,4.0,8.0
17,561.0,6.0,3.0,8.0
18,567.0,6.0,2.0,8.0
19,569.0,6.0,2.0,8.0
20,572.0,4.0,8.0,8.0
21,587.0,4.0,11.0,8.0
22,589.0,4.0,8.0,8.0
23,592.0,4.0,9.0,8.0
24,601.0,4.0,10.0,8.0
25,604.0,1.0,3.0,8.0
26,606.0,1.0,5.0,8.0
27,607.0,1.0,4.0,8.0
28,609.0,1.0,4.0,8.0
29,614.0,1.0,5.0,8.0
30,619.0,2.0,9.0,8.0
31,622.0,2.0,10.0,8.0
32,623.0,2.0,9.0,8.0
33,627.0,2.0,10.0,8.0
34,632.0,2.0,9.0,8.0
35,635.0,0.0,5.0,8.0
36,643.0,0.0,3.0,8.0
37,646.0,0.0,4.0,8.0
38,647.0,0.0,2.0,8.0
39,653.0,0.0,1.0,8.0
40,656.0,3.0,5.0,7.0
41,660.0,5.0,9.0,7.0
42,664.0,7.0,6.0,7.0
43,670.0,4.0,10.0,7.0
44,676.0,1.0,5.0,7.0
45,683.0,2.0,8.0,7.0
46,685.0,0.0,6.0,7.0
47,687.0,3.0,5.0,7.0
48,691.0,5.0,11.0,7.0
49,693.0,7.0,7.0,7.0
50,696.0,4.0,10.0,7.0
51,699.0,1.0,5.0,7.0
52,702.0,2.0,9.0,7.0
53,703.0,0.0,1.0,7.0
54,706.0,3.0,3.0,7.0
55,708.0,5.0,9.0,7.0
56,709.0,7.0,5.0,7.0
57,711.0,4.0,8.0,7.0
58,720.0,1.0,4.0,7.0
59,726.0,2.0,9.0,7.0
60,732.0,0.0,5.0,7.0
61,734.0,5.0,9.0,3.0
62,735.0,4.0,11.0,3.0
63,738.0,2.0,9.0,3.0
64,742.0,5.0,11.0,3.0
65,748.0,4.0,10.0,3.0
66,750.0,2.0,6.0,3.0
67,751.0,5.0,11.0,3.0
68,753.0,4.0,9.0,3.0
69,758.0,2.0,9.0,3.0
70,767.0,5.0,9.0,3.0
71,772.0,4.0,10.0,3.0
72,776.0,2.0,10.0,3.0
73,777.0,5.0,11.0,3.0
74,779.0,4.0,8.0,3.0
75,780.0,2.0,10.0,3.0
76,781.0,5.0,7.0,3.0
77,782.0,4.0,9.0,3.0
78,789.0,2.0,10.0,3.0
79,796.0,5.0,9.0,3.0
80,797.0,4.0,9.0,3.0
81,798.0,2.0,9.0,3.0
82,800.0,5.0,8.0,3.0
83,803.0,4.0,9.0,3.0
84,805.0,2.0,10.0,3.0
85,808.0,5.0,11.0,3.0
86,809.0,4.0,8.0,3.0
87,810.0,2.0,8.0,3.0
88,811.0,5.0,11.0,3.0
89,815.0,4.0,9.0,3.0
90,817.0,2.0,10.0,3.0
91,818.0,5.0,9.0,3.0
92,820.0,4.0,9.0,3.0
93,825.0,2.0,9.0,3.0
94,828.0,5.0,9.0,3.0
95,830.0,4.0,9.0,3.0
96,832.0,2.0,9.0,3.0
97,833.0,5.0,9.0,3.0
98,835.0,4.0,8.0,3.0
99,841.0,2.0,9.0,3.0
